全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
122033,,,市川市高齢者サポートセンター宮久保・下貝塚,イチカワシコウレイシャサポートセンターミヤクボ・シモカイヅカ,,,,,千葉県市川市下貝塚3丁目31-2,千葉県,市川市,下貝塚3丁目,31-2,,35.7386765,139.9511359,,,(047)373-0763,,(047)371-4710,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター市川第一,イチカワシコウレイシャサポートセンターイチカワダイイチ,,,,,千葉県市川市市川南1丁目1-1-301ザ　タワーズ イースト207-2,千葉県,市川市,市川南1丁目,1-1-301,ザ　タワーズ イースト207-2,35.72853397,139.9080647,,,(047)700-5139,,(047)700-5149,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター市川第二,イチカワシコウレイシャサポートセンターイチカワダイニ,,,,,千葉県市川市大洲1丁目18-1急病診療・ふれあいセンター2階,千葉県,市川市,大洲1丁目,18-1,急病診療・ふれあいセンター2階,35.71789284,139.9108701,,,(047)320-3105,,(047)314-0236,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター真間,イチカワシコウレイシャサポートセンターママ,,,,,千葉県市川市真間2丁目3-11,千葉県,市川市,真間2丁目,3-11,,35.73570189,139.9109917,,,(047)322-8811,,(047)322-8812,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター菅野・須和田,イチカワシコウレイシャサポートセンタースガノ・スワダ,,,,,千葉県市川市菅野6丁目18-21ママセントラルハウス1階,千葉県,市川市,菅野6丁目,18-21,ママセントラルハウス1階,35.73370367,139.9151623,,,(047)326-7737,,(047)326-7738,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター八幡,イチカワシコウレイシャサポートセンターヤワタ,,,,,千葉県市川市南八幡3丁目4-10加藤ビル1階,千葉県,市川市,南八幡3丁目,4-10,加藤ビル1階,35.72004213,139.9280861,,,(047)376-3200,,(047)393-6533,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター市川東部,イチカワシコウレイシャサポートセンターイチカワトウブ,,,,,千葉県市川市鬼越1丁目3-2,千葉県,市川市,鬼越1丁目,3-2,,35.72007744,139.9369714,,,(047)334-0070,,(047)334-0080,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター信篤・二俣,イチカワシコウレイシャサポートセンターシントク・フタマタ,,,,,千葉県市川市高谷1854,千葉県,市川市,高谷,1854,,35.69262413,139.9446448,,,(047)327-3366,,(047)711-3288,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター行徳,イチカワシコウレイシャサポートセンターギョウトク,,,,,千葉県市川市本行徳5525-4丸大行徳ﾋﾞﾙ2階,千葉県,市川市,本行徳,5525-4,丸大行徳ﾋﾞﾙ2階,35.68049857,139.9316213,,,(047)312-6070,,(047)398-5516,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター南行徳第一,イチカワシコウレイシャサポートセンターミナミギョウトクダイイチ,,,,,千葉県市川市新井2丁目21-19TTアベニュー205,千葉県,市川市,新井2丁目,21-19,TTアベニュー205,35.672339,139.894774,,,(047)359-6660,,(047)359-6659,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター南行徳第二,イチカワシコウレイシャサポートセンターミナミギョウトクダイニ,,,,,千葉県市川市日之出17-9-102アルテ,千葉県,市川市,日之出,17-9-102,アルテ,35.67619965,139.921661,,,(047)712-8022,,(047)712-8023,,,,,,,,,,,,,,
122033,,,養護老人ホームいこい荘,ヨウゴロウジンホームイコイソウ,,,,,千葉県市川市大町521,千葉県,市川市,大町,521,,35.76009856,139.9534154,,,(047)337-8703,,(047)337-8750,,,,,,,,,,,http://www.city.ichikawa.lg.jp/wel01/1111000003.html,,,
