全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,アベリア公園,ｱﾍﾞﾘｱｺｳｴﾝ,,,,,122033,,千葉県市川市二俣2丁目274-3,千葉県,市川市,二俣2丁目,274-3,,35.70361016,139.9574902,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,アヤメ公園,ｱﾔﾒｺｳｴﾝ,,,,,122033,,千葉県市川市田尻3丁目1051-4,千葉県,市川市,田尻3丁目,1051-4,,35.70545957,139.939089,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,新井公園,ｱﾗｲｺｳｴﾝ,,,,,122033,,千葉県市川市新井1丁目102-2,千葉県,市川市,新井1丁目,102-2,,35.67396206,139.8885442,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あらかし公園,ｱﾗｶｼｺｳｴﾝ,,,,,122033,,千葉県市川市田尻1丁目464-4,千葉県,市川市,田尻1丁目,464-4,,35.70605683,139.931559,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,池ノ台公園,ｲｹﾉﾀﾞｲｺｳｴﾝ,,,,,122033,,千葉県市川市国府台5丁目436-28,千葉県,市川市,国府台5丁目,436-28,,35.75233013,139.9030193,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,石橋上公園,ｲｼﾊﾞｼｳｴｺｳｴﾝ,,,,,122033,,千葉県市川市国分3丁目636-17,千葉県,市川市,国分3丁目,636-17,,35.74244514,139.9138625,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,石橋下公園,ｲｼﾊﾞｼｼﾀｺｳｴﾝ,,,,,122033,,千葉県市川市国分2丁目1903,千葉県,市川市,国分2丁目,1903,,35.74079416,139.9164906,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,市川駅南公園(大洲公園),ｲﾁｶﾜｴｷﾐﾅﾐｺｳｴﾝ(ｵｵｽｺｳｴﾝ),,,,,122033,,千葉県市川市大洲4丁目4117-1,千葉県,市川市,大洲4丁目,4117-1,,35.72249257,139.9070797,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,市川児童交通公園,ｲﾁｶﾜｼﾞﾄﾞｳｺｳﾂｳｺｳｴﾝ,,,,,122033,,千葉県市川市東菅野2丁目1570-1,千葉県,市川市,東菅野2丁目,1570-1,,35.73566327,139.9268858,,,管理事務所　(047)324-2990　交通計画課　(047)712-6341,,,,,,http://www.city.ichikawa.lg.jp/roa01/1111000004.html,,,
122033,,市川市,市川南第１公園,ｲﾁｶﾜﾐﾅﾐﾀﾞｲ1ｺｳｴﾝ,,,,,122033,,千葉県市川市市川南3丁目1935-3,千葉県,市川市,市川南3丁目,1935-3,,35.72889964,139.9044976,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,市川南第２公園,ｲﾁｶﾜﾐﾅﾐﾀﾞｲ2ｺｳｴﾝ,,,,,122033,,千葉県市川市市川南1丁目1639-2,千葉県,市川市,市川南1丁目,1639-2,,35.72790291,139.9055578,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,市川南第３公園,ｲﾁｶﾜﾐﾅﾐﾀﾞｲ3ｺｳｴﾝ,,,,,122033,,千葉県市川市市川南3丁目1802-70,千葉県,市川市,市川南3丁目,1802-70,,35.7304128,139.9023376,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,いちょう公園,ｲﾁｮｳｺｳｴﾝ,,,,,122033,,千葉県市川市宮久保5丁目1323-5,千葉県,市川市,宮久保5丁目,1323-5,,35.73538015,139.9454653,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,稲越公園,ｲﾅｺﾞｼｺｳｴﾝ,,,,,122033,,千葉県市川市稲越町64,千葉県,市川市,稲越町,64,,35.75653912,139.9304628,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,稲越町坂下公園,ｲﾅｺﾞｼﾏﾁｻｶｼﾀｺｳｴﾝ,,,,,122033,,千葉県市川市稲越町575-1,千葉県,市川市,稲越町,575-1,,35.75523229,139.9258007,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,いなりざく公園,ｲﾅﾘｻﾞｸｺｳｴﾝ,,,,,122033,,千葉県市川市北国分3丁目3007-2,千葉県,市川市,北国分3丁目,3007-2,,35.7607037,139.9077005,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,今井橋公園,ｲﾏｲﾊﾞｼｺｳｴﾝ,,,,,122033,,千葉県市川市相之川1丁目900-4,千葉県,市川市,相之川1丁目,900-4,,35.6805707,139.8931528,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,今島田公園,ｲﾏｼﾏﾀﾞｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町1丁目1702-15,千葉県,市川市,柏井町1丁目,1702-15,,35.73782558,139.9702421,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,馬坂公園,ｳﾏｻｶｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷3丁目994-3,千葉県,市川市,曽谷3丁目,994-3,,35.7442633,139.9298061,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,エンジュ公園,ｴﾝｼﾞｭｺｳｴﾝ,,,,,122033,,千葉県市川市広尾1丁目7-44,千葉県,市川市,広尾1丁目,7-44,,35.67823322,139.8923582,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,おおさき公園,ｵｵｻｷｺｳｴﾝ,,,,,122033,,千葉県市川市南大野3丁目7-101,千葉県,市川市,南大野3丁目,7-101,,35.74762675,139.9569039,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大芝原公園,ｵｵｼﾊﾞﾊﾗｺｳｴﾝ,,,,,122033,,千葉県市川市八幡3丁目1,千葉県,市川市,八幡3丁目,1,,35.72366465,139.9268716,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大洲北公園,ｵｵｽｷﾀｺｳｴﾝ,,,,,122033,,千葉県市川市新田4丁目4109-4,千葉県,市川市,新田4丁目,4109-4,,35.72378903,139.9079183,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大堤公園,ｵｵﾂﾂﾐｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高2丁目1415-8,千葉県,市川市,鬼高2丁目,1415-8,,35.71528158,139.9366743,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大堤南公園,ｵｵﾂﾂﾐﾐﾅﾐｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高2丁目1415-14,千葉県,市川市,鬼高2丁目,1415-14,,35.71336056,139.9354844,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大野公園,ｵｵﾉｺｳｴﾝ,,,,,122033,,千葉県市川市大野町2丁目661-9,千葉県,市川市,大野町2丁目,661-9,,35.75236094,139.9439531,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大野第２公園,ｵｵﾉﾀﾞｲ2ｺｳｴﾝ,,,,,122033,,千葉県市川市大野町4丁目3029-4,千葉県,市川市,大野町4丁目,3029-4,,35.75649995,139.9588848,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大野町2丁目公園,ｵｵﾉﾏﾁ2ﾁｮｳﾒｺｳｴﾝ,,,,,122033,,千葉県市川市大野町2丁目759-40,千葉県,市川市,大野町2丁目,759-40,,35.75580711,139.9466835,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大野町4丁目公園,ｵｵﾉﾏﾁ4ﾁｮｳﾒｺｳｴﾝ,,,,,122033,,千葉県市川市大野町4丁目3032-1,千葉県,市川市,大野町4丁目,3032-1,,35.75652106,139.9583344,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大野みどり公園,ｵｵﾉﾐﾄﾞﾘｺｳｴﾝ,,,,,122033,,千葉県市川市南大野1丁目41-101,千葉県,市川市,南大野1丁目,41-101,,35.74258736,139.9519744,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,おおばこ公園,ｵｵﾊﾞｺｺｳｴﾝ,,,,,122033,,千葉県市川市北方2丁目827-3,千葉県,市川市,北方2丁目,827-3,,35.72629018,139.9394209,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大町中里公園,ｵｵﾏﾁﾅｶｻﾞﾄｺｳｴﾝ,,,,,122033,,千葉県市川市大町589,千葉県,市川市,大町,589,,35.77405731,139.957332,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大和田公園,ｵｵﾜﾀﾞｺｳｴﾝ,,,,,122033,,千葉県市川市大和田1丁目157-2,千葉県,市川市,大和田1丁目,157-2,,35.71446224,139.9177638,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大和田４丁目公園,ｵｵﾜﾀﾞ4ﾁｮｳﾒｺｳｴﾝ,,,,,122033,,千葉県市川市大和田4丁目1238-1,千葉県,市川市,大和田4丁目,1238-1,,35.71703079,139.9144816,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,大割公園,ｵｵﾜﾘｺｳｴﾝ,,,,,122033,,千葉県市川市北方町4丁目1441-10,千葉県,市川市,北方町4丁目,1441-10,,35.73787893,139.953015,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,奥谷原公園,ｵｸﾔﾊﾞﾗｺｳｴﾝ,,,,,122033,,千葉県市川市東菅野5丁目2115-3,千葉県,市川市,東菅野5丁目,2115-3,,35.73497142,139.946091,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,押切公園,ｵｼｷﾘｺｳｴﾝ,,,,,122033,,千葉県市川市押切204,千葉県,市川市,押切,204,,35.68634283,139.9149471,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,和尚の池公園,ｵｼｮｳﾉｲｹｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷3丁目1049,千葉県,市川市,曽谷3丁目,1049,,35.74282355,139.932925,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,小田山公園,ｵﾀﾞﾔﾏｺｳｴﾝ,,,,,122033,,千葉県市川市宮久保6丁目909-7,千葉県,市川市,宮久保6丁目,909-7,,35.73842642,139.9440671,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,鬼越公園,ｵﾆｺﾞｴｺｳｴﾝ,,,,,122033,,千葉県市川市鬼越1丁目12-5,千葉県,市川市,鬼越1丁目,12-5,,35.71868732,139.9404239,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,鬼高公園,ｵﾆﾀｶｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高3丁目1199-2,千葉県,市川市,鬼高3丁目,1199-2,,35.7104016,139.9375855,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,鬼高西公園,ｵﾆﾀｶﾆｼｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高3丁目1193-3,千葉県,市川市,鬼高3丁目,1193-3,,35.71064409,139.936212,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,鬼高東公園,ｵﾆﾀｶﾋｶﾞｼｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高3丁目1168-4,千葉県,市川市,鬼高3丁目,1168-4,,35.70963013,139.9396092,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,カイドウ公園,ｶｲﾄﾞｳｺｳｴﾝ,,,,,122033,,千葉県市川市菅野5丁目1614-3,千葉県,市川市,菅野5丁目,1614-3,,35.73505013,139.9255664,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,かえで公園,ｶｴﾃﾞｺｳｴﾝ,,,,,122033,,千葉県市川市宮久保4丁目585-1,千葉県,市川市,宮久保4丁目,585-1,,35.73651536,139.9378103,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,かきつばた公園,ｶｷﾂﾊﾞﾀｺｳｴﾝ,,,,,122033,,千葉県市川市南行徳2丁目19-3,千葉県,市川市,南行徳2丁目,19-3,,35.6671599,139.9069811,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,欠真間公園,ｶｹﾏﾏｺｳｴﾝ,,,,,122033,,千葉県市川市欠真間2丁目4,千葉県,市川市,欠真間2丁目,4,,35.67824065,139.906056,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,柏井第１公園,ｶｼﾜｲﾀﾞｲ1ｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町3丁目166-9,千葉県,市川市,柏井町3丁目,166-9,,35.75061346,139.9609824,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,柏井第２公園,ｶｼﾜｲﾀﾞｲ2ｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町3丁目149-99,千葉県,市川市,柏井町3丁目,149-99,,35.74910845,139.9606021,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,柏井ひだまり公園,ｶｼﾜｲﾋﾀﾞﾏﾘｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町1丁目2254,千葉県,市川市,柏井町1丁目,2254,,35.73552017,139.9732461,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,柏井町法伝公園,ｶｼﾜｲﾏﾁﾎｳﾃﾞﾝｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町1丁目1609-32,千葉県,市川市,柏井町1丁目,1609-32,,35.73470409,139.9692467,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,柏井町さつき公園,ｶｼﾜｲﾏﾁｻﾂｷｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町4丁目495-6,千葉県,市川市,柏井町4丁目,495-6,,35.74869155,139.969048,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,柏井みどり公園,ｶｼﾜｲﾐﾄﾞﾘｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町1丁目2262,千葉県,市川市,柏井町1丁目,2262,,35.73950063,139.9721106,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,かすみそう公園,ｶｽﾐｿｳｺｳｴﾝ,,,,,122033,,千葉県市川市南大野1丁目40-111,千葉県,市川市,南大野1丁目,40-111,,35.74302079,139.951035,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,桂の木公園,ｶﾂﾗﾉｷｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高4丁目350-5,千葉県,市川市,鬼高4丁目,350-5,,35.71065445,139.9320852,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,蟹田公園,ｶﾆﾀｺｳｴﾝ,,,,,122033,,千葉県市川市新井2丁目11,千葉県,市川市,新井2丁目,11,,35.6771204,139.8946666,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,かのえ塚公園,ｶﾉｴﾂﾞｶｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷2丁目460-18,千葉県,市川市,曽谷2丁目,460-18,,35.74843632,139.9372414,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,上浅間きずな公園,ｶﾐｾﾝｹﾞﾝｷｽﾞﾅｺｳｴﾝ,,,,,122033,,千葉県市川市八幡6丁目891-14,千葉県,市川市,八幡6丁目,891-14,,35.73076893,139.9404701,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,上道公園,ｶﾐﾐﾁｺｳｴﾝ,,,,,122033,,千葉県市川市本塩4,千葉県,市川市,本塩,4,,35.69086563,139.9216565,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,かもめ公園,ｶﾓﾒｺｳｴﾝ,,,,,122033,,千葉県市川市福栄4丁目3767-192,千葉県,市川市,福栄4丁目,3767-192,,35.66999674,139.9140375,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,からたち公園,ｶﾗﾀﾁｺｳｴﾝ,,,,,122033,,千葉県市川市塩焼4丁目2-22,千葉県,市川市,塩焼4丁目,2-22,,35.68774309,139.9315536,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,川端公園,ｶﾜﾊﾞﾀｺｳｴﾝ,,,,,122033,,千葉県市川市下貝塚3丁目329-9,千葉県,市川市,下貝塚3丁目,329-9,,35.73921603,139.9476994,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,香取公園,ｶﾝﾄﾞﾘｺｳｴﾝ,,,,,122033,,千葉県市川市香取1丁目5,千葉県,市川市,香取1丁目,5,,35.68077281,139.9046556,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北方第２公園,ｷﾀｶﾀﾀﾞｲ2ｺｳｴﾝ,,,,,122033,,千葉県市川市北方2丁目824-4,千葉県,市川市,北方2丁目,824-4,,35.72546745,139.9407518,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北方の丘西公園,ｷﾀｶﾀﾉｵｶﾆｼｺｳｴﾝ,,,,,122033,,千葉県市川市北方3丁目382-30,千葉県,市川市,北方3丁目,382-30,,35.72492357,139.9470053,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北方の丘東公園,ｷﾀｶﾀﾉｵｶﾋｶﾞｼｺｳｴﾝ,,,,,122033,,千葉県市川市北方3丁目405-40,千葉県,市川市,北方3丁目,405-40,,35.72574498,139.9487399,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北国分第２公園,ｷﾀｺｸﾌﾞﾝﾀﾞｲ2ｺｳｴﾝ,,,,,122033,,千葉県市川市北国分4丁目2794-4,千葉県,市川市,北国分4丁目,2794-4,,35.76484045,139.9097719,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北国分公園,ｷﾀｺﾌﾞﾝｺｳｴﾝ,,,,,122033,,千葉県市川市北国分4丁目2792-1,千葉県,市川市,北国分4丁目,2792-1,,35.76292623,139.9079751,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北国分２丁目公園,ｷﾀｺｸﾌﾞﾝ2ﾁｮｳﾒｺｳｴﾝ,,,,,122033,,千葉県市川市北国分2丁目2561-68,千葉県,市川市,北国分2丁目,2561-68,,35.76182752,139.906304,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,北浜公園,ｷﾀﾊﾏｺｳｴﾝ,,,,,122033,,千葉県市川市新井3丁目18,千葉県,市川市,新井3丁目,18,,35.67274517,139.8964562,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,ぎぼうし公園,ｷﾞﾎﾞｳｼｺｳｴﾝ,,,,,122033,,千葉県市川市南行徳1丁目6-15,千葉県,市川市,南行徳1丁目,6-15,,35.67291151,139.9059044,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,行徳児童公園,ｷﾞｮｳﾄｸｼﾞﾄﾞｳｺｳｴﾝ,,,,,122033,,千葉県市川市本行徳212-2,千葉県,市川市,本行徳,212-2,,35.69454992,139.9177172,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,行徳南部公園,ｷﾞｮｳﾄｸﾅﾝﾌﾞｺｳｴﾝ,,,,,122033,,千葉県市川市幸2丁目4,千葉県,市川市,幸2丁目,4,,35.67880838,139.9283072,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,行徳水辺の杜公園,ｷﾞｮｳﾄｸﾐｽﾞﾍﾞﾉﾓﾘｺｳｴﾝ,,,,,122033,,千葉県市川市加藤新田202-13,千葉県,市川市,加藤新田,202-13,,35.67742875,139.9298115,,,公園緑地課　(047)712-6367,,,,,,http://www.city.ichikawa.lg.jp/gre04/1111000082.html,,,
122033,,市川市,きんせんか公園,ｷﾝｾﾝｶｺｳｴﾝ,,,,,122033,,千葉県市川市日之出5-13,千葉県,市川市,日之出,5-13,,35.67675819,139.9251348,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,くすのき公園,ｸｽﾉｷｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高2丁目1584-2,千葉県,市川市,鬼高2丁目,1584-2,,35.71539818,139.9399077,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,くちなし公園,ｸﾁﾅｼｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷3丁目74-14,千葉県,市川市,曽谷3丁目,74-14,,35.74205483,139.9324122,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,久保上公園,ｸﾎﾞｶﾞﾐｺｳｴﾝ,,,,,122033,,千葉県市川市真間５丁目146-11,千葉県,市川市,真間５丁目,146-11,,35.74147597,139.9093475,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,くろまつ公園,ｸﾛﾏﾂｺｳｴﾝ,,,,,122033,,千葉県市川市南大野2丁目4-104,千葉県,市川市,南大野2丁目,4-104,,35.74348442,139.9520984,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,けいとう公園,ｹｲﾄｳｺｳｴﾝ,,,,,122033,,千葉県市川市大洲3丁目4160-2,千葉県,市川市,大洲3丁目,4160-2,,35.72104615,139.906264,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,けやき公園,ｹﾔｷｺｳｴﾝ,,,,,122033,,千葉県市川市欠真間1丁目151-2,千葉県,市川市,欠真間1丁目,151-2,,35.67985208,139.9028331,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,庚申前公園,ｺｳｼﾝﾏｴｺｳｴﾝ,,,,,122033,,千葉県市川市中国分2丁目41-30,千葉県,市川市,中国分2丁目,41-30,,35.75124736,139.9125663,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,庚塚公園,ｺｳﾂﾞｶｺｳｴﾝ,,,,,122033,,千葉県市川市大野町2丁目598-8,千葉県,市川市,大野町2丁目,598-8,,35.75471566,139.9462558,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,国府台児童公園,ｺｳﾉﾀﾞｲｼﾞﾄﾞｳｺｳｴﾝ,,,,,122033,,千葉県市川市国府台5丁目372-4,千葉県,市川市,国府台5丁目,372-4,,35.74919432,139.9051943,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,こがね公園,ｺｶﾞﾈｺｳｴﾝ,,,,,122033,,千葉県市川市市川2丁目1757-1,千葉県,市川市,市川2丁目,1757-1,,35.73078239,139.9036839,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,こざと南公園,ｺｻﾞﾄﾐﾅﾐｺｳｴﾝ,,,,,122033,,千葉県市川市南大野2丁目5-101,千葉県,市川市,南大野2丁目,5-101,,35.744503,139.951626,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,コスモス公園,ｺｽﾓｽｺｳｴﾝ,,,,,122033,,千葉県市川市南八幡3丁目246-4,千葉県,市川市,南八幡3丁目,246-4,,35.71658772,139.9258126,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,こでまり公園,ｺﾃﾞﾏﾘｺｳｴﾝ,,,,,122033,,千葉県市川市八幡5丁目617-17,千葉県,市川市,八幡5丁目,617-17,,35.72264982,139.9348169,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,こぶし公園,ｺﾌﾞｼｺｳｴﾝ,,,,,122033,,千葉県市川市南大野2丁目3-104,千葉県,市川市,南大野2丁目,3-104,,35.74514793,139.9549558,,,公園緑地課　(047)712-6367,,,,,,,,,
