全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,菅野小学校,ｽｶﾞﾉｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市菅野6丁目14-1,千葉県,市川市,菅野6丁目,14-1,,35.734577,39.917109,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3金曜　15：20～16：00
122033,,市川市,㈱久保田菅野ハイツ,ｶﾌﾞｸﾎﾞﾀｽｶﾞﾉﾊｲﾂ,,,,,122033,,千葉県市川市菅野5丁目3-6,千葉県,市川市,菅野5丁目,3-6,,35.734176,139.924558,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3金曜　10：20～11：00
122033,,市川市,塩浜団地商店街広場,ｼｵﾊﾏﾀﾞﾝﾁｼｮｳﾃﾝｶﾞｲﾋﾛﾊﾞ,,,,,122033,,千葉県市川市塩浜4-2,千葉県,市川市,塩浜,4-2,,35.662511,139.912429,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3木曜　10：20～10：50　第2・第4火曜　13：30～14：00
122033,,市川市,島尻公園,ｼﾏｼﾞﾘｺｳｴﾝ,,,,,122033,,千葉県市川市島尻1,千葉県,市川市,島尻,1,,35.675759,139.886391,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4火曜　14：30～15：00
122033,,市川市,稲越小学校,ｲﾅｺﾞｼｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市稲越3丁目21-8,千葉県,市川市,稲越3丁目,21-8,,35.754556,139.924496,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3水曜　10：20～11：00
122033,,市川市,タムス市川リハビリテーション病院,ﾀﾑｽｲﾁｶﾜﾘﾊﾋﾞﾘﾃｰｼｮﾝﾋﾞｮｳｲﾝ,,,,,122033,,千葉県市川市柏井町4丁目229-4,千葉県,市川市,柏井町4丁目,229-4,,35.751274,139.964843,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3木曜　13：30～14：00
122033,,市川市,市営曽谷第１団地,ｼｴｲｿﾔﾀﾞｲｲﾁﾀﾞﾝﾁ,,,,,122033,,千葉県市川市曽谷2丁目7-1,千葉県,市川市,曽谷2丁目,7-1,,35.745553,139.936015,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4金曜　13：30～14：00
122033,,市川市,市川真間グループホーム,ｲﾁｶﾜﾏﾏｸﾞﾙｰﾌﾟﾎｰﾑ,,,,,122033,,千葉県市川市真間5丁目15-13,千葉県,市川市,真間5丁目,15-13,,35.743412,139.10464,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4木曜　15：20～16：00
122033,,市川市,石橋下公園,ｲｼﾊﾞｼｼﾀｺｳｴﾝ,,,,,122033,,千葉県市川市国分2-9,千葉県,市川市,国分,2-9,,35.741182,139.916052,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3金曜　14：30～15：00
122033,,市川市,北方第２公園,ｷﾀｶﾀﾀﾞｲﾆｺｳｴﾝ,,,,,122033,,千葉県市川市北方2丁目29-19,千葉県,市川市,北方2丁目,29-19,,35.725466,139.941035,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3水曜　15：20～1600
122033,,市川市,大洲防災公園（中央広場前）,ｵｵｽﾎﾞｳｻｲｺｳｴﾝﾁｭｳｵｳﾋﾛﾊﾞﾏｴ,,,,,122033,,千葉県市川市大洲1-8,千葉県,市川市,大洲,1-8,,35.71861,139.911389,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4水曜　15：30～16：00
122033,,市川市,行徳児童公園,ｷﾞｮｳﾄｸｼﾞﾄﾞｳｺｳｴﾝ,,,,,122033,,千葉県市川市本行徳12,千葉県,市川市,本行徳,12,,35.694551,139.917911,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4火曜　15：20～1600
