全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像2,画像_ライセンス,URL,備考
122033,,25,市川市,曽谷貝塚,ソヤカイヅカ,Soya Kaizuka Shell Mound,,122033,,千葉県市川市曽谷2丁目15,千葉県,市川市,曽谷2丁目,15,,35.74741326,139.9350607,,,,,,,,,表層が貝殻に覆われている馬蹄形（U 字型）の貝塚では最大級。（国史跡）10 月に「縄文祭り」開催。,"The largest horseshoe-shaped shell mound in Japan which was formed in the late Jomon Period. (A national historc site) The ""Jomon Festival"" is held in October.",Ｊ Ｒ 本八幡駅北口　バス曽谷下車　徒歩10 分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\1e45d7de-4a9f-4045-9be3-4a6102f2ccb2.jpg,,,http://www.city.ichikawa.lg.jp/edu09/1511000005.html,歴史・文化
122033,,26,市川市,春日神社と周辺の街並み,カスガジンジャトシュウヘンノマチナミ,Kasugajinjya Shrine and the surrounding streets,,122033,,千葉県市川市曽谷2丁目7-5,千葉県,市川市,曽谷2丁目,7-5,,35.74551954,139.9357066,,,,,,,,,境内に江戸時代の道六神を納めた祠のある古社。周辺には藁葺き屋根の家が点在するなど落ち着いた風情ある景観。,An old shrine enshrines Dourokujin God of Edo period. Calm scenery of houses with straw roofs scattering around them.,ＪＲ市川駅北口バス　曽谷郵便局下車,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\71eec8b3-74e6-4ece-a8b4-697b919fdc16.JPG,,,,歴史・文化、まち並み
122033,,27,市川市,こざと公園周辺,コザトコウエンシュウヘン,Kozato Koen Park and its surroundings,,122033,,千葉県市川市南大野2丁目5、-6,千葉県,市川市,南大野2丁目,5、-6,,35.7443615,139.9518876,,,,,,,,,全長約300m の調整池として造られ、周囲は散策路となっている。多くの鳥類が集まる街なかのオアシス。,Built as a regulating reservoir. Its surroundings are walking path. An oasis on the street where many birds gather.,ＪＲ市川大野駅北口バス大柏出張所下車,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\e93eb743-cfce-4570-9a4f-5862902f41ad.jpg,,,,まち並み
122033,,28,市川市,市川パークハイツと周辺の緑,イチカワパークハイツトシュウヘンノミドリ,"""Ichikawa Park Heights"", the appartment, and the surrounding green",,122033,,千葉県市川市南大野2丁目3-3,千葉県,市川市,南大野2丁目,3-3,,35.74581028,139.9531914,,,,,,,,,建物の周囲には緑道があり、見上げるほどの大きなケヤキがある。,"There is a greenway around the building, and there is a huge zelkova tree.",,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\000b0cdc-3ffc-4ea2-bc2b-ffd167a31e43.JPG,,,,自然、まち並み
122033,,29,市川市,南大野1丁目の街並み,ミナミオオノイッチョウメノマチナミ,The cityscape of Minami-Ono 1chome,,122033,,千葉県市川市南大野1丁目地先,千葉県,市川市,南大野1丁目,,地先,35.74395357,139.9510487,,,,,,,,,四季折々の草花とイチョウやカツラの街路樹に囲まれた街並みのコラボレーションが魅力的。,"The cityscape surrounded by flowers of four seasons, gingko trees, and Katsura treees is fascinating.",,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\4de6a777-7b07-413e-9d64-c4dae7991fe1.JPG,,,,自然、まち並み
122033,,30,市川市,姥山貝塚公園,ウバヤマカイヅカコウエン,Ubayama Kaizuka Shell Mound,,122033,,千葉県市川市柏井町1丁目1207,千葉県,市川市,柏井町1丁目,1207,,35.73736119,139.9653749,,,,,,,,,縄文時代中期（ 約4500 年前）?後期（約3000 年前）の大規模な馬蹄形（U 字型）貝塚。初めて当時の竪穴住居が完全な形で発見された。（国史跡、P あり）,"Large-scale horseshoe-shaped (U-shaped) shell mound built between mid to late Jomon period. The pit house at that time was found in complete form for the first time. (National historical site, parking available)",ＪＲ下総中山駅　バス　姥山貝塚公園入口下車　徒歩5 分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\04809c76-1660-47fa-8df6-621e90be3c73.JPG,,,http://www.city.ichikawa.lg.jp/gre04/1111000004.html,まち並み
122033,,31,市川市,大柏川と桜並木,オオカシワガワトサクラナミキ,Ogashiwa-Gawa River and row of cherry trees,,122033,,千葉県市川市,千葉県,市川市,,,,35.74178085,139.9540433,,,,,,,,,春から秋にかけて桜並木とともに、野の花を楽しめる。,"From spring to autumn, together with the cherry trees along Ogashiwa-Gawa River, you can enjoy the wild flowers.",,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\674fa60f-cf50-4753-a44e-c42fb312c8aa.JPG,,,,自然、まち並み
122033,,32,市川市,市民プール,シミンプール,Public Swimming Pool,,122033,,千葉県市川市北方町4丁目2270-3,千葉県,市川市,北方町4丁目,2270-3,,35.7347062,139.953671,,,,,,,,,東京スカイツリーから富士山まで見渡せる夏の憩いの場。流水プール、子供プール（滑り台付）などがある。,"You can have a veiw of Tokyo Skytree and Mt. Fuji. There are running water swimming pool, children's swimming pool (with slide) and so on.",JR本八幡駅北口　バス 大野中央病院下車　徒歩5分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\a9cca731-f2c7-4535-b046-586948957be5.JPG,,,,まち並み
122033,,33,市川市,大柏川第一調節池緑地,オオカシワガワダイイチチョウセツイケリョクチ,The First Ogashiwa-Gawa River Regulating Reservoir and green space,,122033,,千葉県市川市北方町4丁目1444-59,千葉県,市川市,北方町4丁目,1444-59,,35.73581324,139.9504447,,,,,,,,,洪水対策を目的に、かつての北方の自然を復元し、多様な動植物の生育環境を管理する調節池。年間100種類以上の野鳥が飛来。当調節池を活動拠点にしているぼっけ生きもの倶楽部は第6回?,Built for the purpose of flood control. It restores the former nature of the northern part of the city and manages growing environment for variety of animals and plants. More than 100 species of wild birds fly in every year. ,JR本八幡駅北口　バス大野中央病院下車　徒歩3分,,,,,,,,,,,,,,,,,,,管理事務所,047-337-7111,,,,,,ATTACH/93cf3a38-628a-4ad4-9b07-86d1f391fb63.JPG,ATTACH\9e416ec7-b51f-40a6-80cf-72f443ef38df.jpg,,http://www.city.ichikawa.lg.jp/gre05/1111000012.html,自然
122033,,34,市川市,北方小学校からの眺め,キタカタショウガッコウカラノナガメ,View from Kitakata Elementary School,,122033,,千葉県市川市北方町4丁目1356-1,千葉県,市川市,北方町4丁目,1356-1,,35.73252232,139.9455993,,,,,,,,,子之神社の緑や、春には桜並木が見渡せる。,The trees of Neno Jinja Shrine and row of cherry trees in spring can be seen from here.,JR 本八幡駅北口　バス　本北方一丁目下車　徒歩3 分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\ffed8d8e-4382-4a66-b98a-14c8820f222c.jpg,,,,まち並み
122033,,35,市川市,子之神社,ネノジンジャ,Neno Jinjya shrine,,122033,,千葉県市川市北方3丁目17-23,千葉県,市川市,北方3丁目,17-23,,35.72490853,139.9446863,,,,,,,,,ムクノキやコナラなどの樹木に囲まれ、高い石階段を登ると市内を見渡せる。,"Surrounded by trees such as muku trees and English oak, You can climb high stone stairs and look around the city.",JR 本八幡駅北口　バス　本北方一丁目下車　徒歩3 分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\c8634a35-4a8a-41b4-8dd2-db09f6fddccd.jpg,,,,歴史・文化
122033,,36,市川市,東山魁夷記念館,ヒガシヤマカイイキネンカン,Higashiyama Kaii Memorial Hall,,122033,,千葉県市川市中山1丁目16-2,千葉県,市川市,中山1丁目,16-2,,35.72278277,139.9464741,,,,,,,,,日本画の巨匠・東山魁夷画伯の作品を常設展示。かつて画伯が留学していた ドイツを思わせる、八角形の塔のある西洋風の外観。（入館有料、P あり）,"The works of painter Kaii Higashiyama, a master of Japanese painting, are on permanent display. The western-style appearance of octagonal towers is reminiscent of Germany, where painters once studied. (Admission fee, parking available.)",JR 下総中山駅北口徒歩20 分,,,,,,,,,,,,,,,,,,,,047-333-2011,,,,,,ATTACH\bb55f01e-ec9b-44d7-bccd-b90b526ec4e0.jpg,,,http://www.city.ichikawa.lg.jp/higashiyama/,まち並み
122033,,37,市川市,中山法華経寺,ナカヤマホケキョウジ,Nakayama Hokekyoji Temple,,122033,,千葉県市川市中山2丁目10-1,千葉県,市川市,中山2丁目,10-1,,35.72061075,139.949289,,,,,,,,,日蓮聖人が説法を行った日蓮宗最古の大本山。五重塔をはじめ国宝・重要文化財多数あり。,The headquarters of the Nichiren-Shu sect of Buddhism. The temple has many important cultural assets and features a five-storied pagoda.,JR 下総中山駅北口徒歩10 分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH/6b9396cc-ffeb-43a3-b7e0-7022e7658754.JPG,ATTACH/b613cab4-dc37-4628-8a7f-013830eb6d65.jpg,,http://www.city.ichikawa.lg.jp/edu09/1111000052.html,歴史・文化
122033,,38,市川市,中山参道と商店街,ナカヤマサンドウトショウテンガイ,Stores along Nakayama Sando Appoach Way,,122033,,千葉県市川市中山4丁目地先,千葉県,市川市,中山4丁目,,地先,35.71800247,139.9465901,,,,,,,,,古くからの寺町として落ち着いた面影を残している。店舗や住宅の修景整備などが行われた。,The district retains the tranquil atmosphere of a temple town. The repairs to the shops and houses have been completed.,JR 下総中山駅北口徒歩10 分,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACH\671dae61-306c-4057-bf06-ebf0a942cda0.jpg,ATTACH/93c35302-7200-43d1-b8a8-be9ab670e9c3.JPG,,https://www.city.ichikawa.lg.jp/cit09/1111000034.html,まち並み、生活風景
122033,,39,市川市,花の道オアシス（若宮）周辺,ハナノミチオアシス（ワカミヤ）シュウヘン,The Flower Steet Oasis and the nearby area,,122033,,千葉県市川市若宮1丁目12-2,千葉県,市川市,若宮1丁目,12-2,,35.71920006,139.9518155,,,,,,,,,周囲の景観に配慮したお休み処。手づくりの庭があり、行き交う人々の安らぎの場である。「花の道オアシス」は第7回市川市景観賞受賞。,"A caf? which blends in with surrounding landscape. There is a handmade courtyard, which is a peaceful place for people coming and going. ""Flower Street Oasis"" won the Seventh Ichikawa Landscape Award.",,,,,,,,,,,,,,,,,,,,,047?335?6481,,,,,,ATTACH\54d8f50d-e42c-4d01-94c0-fa7a8a2050c7.JPG,,,,自然、まち並み、生活風景
